name,id,hp,attack,defense,special_attack,special_defense,speed,height,weight,type_1,type_2
Abomasnow,460,90,92,75,92,85,60,22,1355,Grass,Ice
Weavile,461,70,120,65,45,85,125,11,340,Dark,Ice
Magnezone,462,70,70,115,130,90,60,12,1800,Electric,Steel
Lickilicky,463,110,85,95,80,95,50,17,1400,Normal,
Rhyperior,464,115,140,130,55,55,40,24,2828,Ground,Rock
Tangrowth,465,100,100,125,110,50,50,20,1286,Grass,
Electivire,466,75,123,67,95,85,95,18,1386,Electric,
Magmortar,467,75,95,67,125,95,83,16,680,Fire,
Togekiss,468,85,50,95,120,115,80,15,380,Fairy,Flying
Yanmega,469,86,76,86,116,56,95,19,515,Bug,Flying
Leafeon,470,65,110,130,60,65,95,10,255,Grass,
Glaceon,471,65,60,110,130,95,65,8,259,Ice,
Gliscor,472,75,95,125,45,75,95,20,425,Ground,Flying
Mamoswine,473,110,130,80,70,60,80,25,2910,Ice,Ground
Porygon-Z,474,85,80,70,135,75,90,9,340,Normal,
Gallade,475,68,125,65,65,115,80,16,520,Psychic,Fighting
Probopass,476,60,55,145,75,150,40,14,3400,Rock,Steel
Dusknoir,477,45,100,135,65,135,45,22,1066,Ghost,
Froslass,478,70,80,70,80,70,110,13,266,Ice,Ghost
Rotom,479,50,50,77,95,77,91,3,3,Electric,Ghost
Uxie,480,75,75,130,75,130,95,3,3,Psychic,
Mesprit,481,80,105,105,105,105,80,3,3,Psychic,
Azelf,482,75,125,70,125,70,115,3,3,Psychic,
Dialga,483,100,120,120,150,100,90,54,6830,Steel,Dragon
Palkia,484,90,120,100,150,120,100,42,3360,Water,Dragon
Heatran,485,91,90,106,130,106,77,17,4300,Fire,Steel
Regigigas,486,110,160,110,80,110,100,37,4200,Normal,
Giratina-Altered,487,150,100,120,100,120,90,45,7500,Ghost,Dragon
Cresselia,488,120,70,110,75,120,85,15,856,Psychic,
Phione,489,80,80,80,80,80,80,4,31,Water,
Manaphy,490,100,100,100,100,100,100,3,14,Water,
Darkrai,491,70,90,90,135,90,125,15,505,Dark,
Shaymin-Land,492,100,100,100,100,100,100,2,21,Grass,
Arceus,493,120,120,120,120,120,120,32,3200,Normal,
Victini,494,100,100,100,100,100,100,4,40,Psychic,Fire
Snivy,495,45,45,55,45,55,63,6,81,Grass,
Servine,496,60,60,75,60,75,83,8,160,Grass,
Serperior,497,75,75,95,75,95,113,33,630,Grass,
Tepig,498,65,63,45,45,45,45,5,99,Fire,
Pignite,499,90,93,55,70,55,55,10,555,Fire,Fighting
Emboar,500,110,123,65,100,65,65,16,1500,Fire,Fighting
Oshawott,501,55,55,45,63,45,45,5,59,Water,
Dewott,502,75,75,60,83,60,60,8,245,Water,
Samurott,503,95,100,85,108,70,70,15,946,Water,
Patrat,504,45,55,39,35,39,42,5,116,Normal,
Watchog,505,60,85,69,60,69,77,11,270,Normal,
Lillipup,506,45,60,45,25,45,55,4,41,Normal,
Herdier,507,65,80,65,35,65,60,9,147,Normal,
Stoutland,508,85,110,90,45,90,80,12,610,Normal,
Purrloin,509,41,50,37,50,37,66,4,101,Dark,
Liepard,510,64,88,50,88,50,106,11,375,Dark,
Pansage,511,50,53,48,53,48,64,6,105,Grass,
Simisage,512,75,98,63,98,63,101,11,305,Grass,
Pansear,513,50,53,48,53,48,64,6,110,Fire,
Simisear,514,75,98,63,98,63,101,10,280,Fire,
Panpour,515,50,53,48,53,48,64,6,135,Water,
Simipour,516,75,98,63,98,63,101,10,290,Water,
Munna,517,76,25,45,67,55,24,6,233,Psychic,
Musharna,518,116,55,85,107,95,29,11,605,Psychic,
Pidove,519,50,55,50,36,30,43,3,21,Normal,Flying
Tranquill,520,62,77,62,50,42,65,6,150,Normal,Flying
Unfezant,521,80,115,80,65,55,93,12,290,Normal,Flying
Blitzle,522,45,60,32,50,32,76,8,298,Electric,
Zebstrika,523,75,100,63,80,63,116,16,795,Electric,
Roggenrola,524,55,75,85,25,25,15,4,180,Rock,
Boldore,525,70,105,105,50,40,20,9,1020,Rock,
Gigalith,526,85,135,130,60,80,25,17,2600,Rock,
Woobat,527,65,45,43,55,43,72,4,21,Psychic,Flying
Swoobat,528,67,57,55,77,55,114,9,105,Psychic,Flying
Drilbur,529,60,85,40,30,45,68,3,85,Ground,
Excadrill,530,110,135,60,50,65,88,7,404,Ground,Steel
Audino,531,103,60,86,60,86,50,11,310,Normal,
Timburr,532,75,80,55,25,35,35,6,125,Fighting,
Gurdurr,533,85,105,85,40,50,40,12,400,Fighting,
Conkeldurr,534,105,140,95,55,65,45,14,870,Fighting,
Tympole,535,50,50,40,50,40,64,5,45,Water,
Palpitoad,536,75,65,55,65,55,69,8,170,Water,Ground
Seismitoad,537,105,95,75,85,75,74,15,620,Water,Ground
Throh,538,120,100,85,30,85,45,13,555,Fighting,
Sawk,539,75,125,75,30,75,85,14,510,Fighting,
Sewaddle,540,45,53,70,40,60,42,3,25,Bug,Grass
Swadloon,541,55,63,90,50,80,42,5,73,Bug,Grass
Leavanny,542,75,103,80,70,80,92,12,205,Bug,Grass
Venipede,543,30,45,59,30,39,57,4,53,Bug,Poison
Whirlipede,544,40,55,99,40,79,47,12,585,Bug,Poison
Scolipede,545,60,100,89,55,69,112,25,2005,Bug,Poison
Cottonee,546,40,27,60,37,50,66,3,6,Grass,Fairy
Whimsicott,547,60,67,85,77,75,116,7,66,Grass,Fairy
Petilil,548,45,35,50,70,50,30,5,66,Grass,
Lilligant,549,70,60,75,110,75,90,11,163,Grass,
Basculin-Red-Striped,550,70,92,65,80,55,98,10,180,Water,
Sandile,551,50,72,35,35,35,65,7,152,Ground,Dark
Krokorok,552,60,82,45,45,45,74,10,334,Ground,Dark
Krookodile,553,95,117,80,65,70,92,15,963,Ground,Dark
Darumaka,554,70,90,45,15,45,50,6,375,Fire,
Darmanitan-Standard,555,105,140,55,30,55,95,13,929,Fire,
Maractus,556,75,86,67,106,67,60,10,280,Grass,
Dwebble,557,50,65,85,35,35,55,3,145,Bug,Rock
Crustle,558,70,105,125,65,75,45,14,2000,Bug,Rock
Scraggy,559,50,75,70,35,70,48,6,118,Dark,Fighting
Scrafty,560,65,90,115,45,115,58,11,300,Dark,Fighting
Sigilyph,561,72,58,80,103,80,97,14,140,Psychic,Flying
Yamask,562,38,30,85,55,65,30,5,15,Ghost,
Cofagrigus,563,58,50,145,95,105,30,17,765,Ghost,
Tirtouga,564,54,78,103,53,45,22,7,165,Water,Rock
Carracosta,565,74,108,133,83,65,32,12,810,Water,Rock
Archen,566,55,112,45,74,45,70,5,95,Rock,Flying
Archeops,567,75,140,65,112,65,110,14,320,Rock,Flying
Trubbish,568,50,50,62,40,62,65,6,310,Poison,
Garbodor,569,80,95,82,60,82,75,19,1073,Poison,
Zorua,570,40,65,40,80,40,65,7,125,Dark,
Zoroark,571,60,105,60,120,60,105,16,811,Dark,
Minccino,572,55,50,40,40,40,75,4,58,Normal,
Cinccino,573,75,95,60,65,60,115,5,75,Normal,
Gothita,574,45,30,50,55,65,45,4,58,Psychic,
Gothorita,575,60,45,70,75,85,55,7,180,Psychic,
Gothitelle,576,70,55,95,95,110,65,15,440,Psychic,
Solosis,577,45,30,40,105,50,20,3,10,Psychic,
Duosion,578,65,40,50,125,60,30,6,80,Psychic,
Reuniclus,579,110,65,75,125,85,30,10,201,Psychic,
Ducklett,580,62,44,50,44,50,55,5,55,Water,Flying
Swanna,581,75,87,63,87,63,98,13,242,Water,Flying
Vanillite,582,36,50,50,65,60,44,4,57,Ice,
Vanillish,583,51,65,65,80,75,59,11,410,Ice,
Vanilluxe,584,71,95,85,110,95,79,13,575,Ice,
Deerling,585,60,60,50,40,50,75,6,195,Normal,Grass
Sawsbuck,586,80,100,70,60,70,95,19,925,Normal,Grass
Emolga,587,55,75,60,75,60,103,4,50,Electric,Flying
Karrablast,588,50,75,45,40,45,60,5,59,Bug,
Escavalier,589,70,135,105,60,105,20,10,330,Bug,Steel
Foongus,590,69,55,45,55,55,15,2,10,Grass,Poison
Amoonguss,591,114,85,70,85,80,30,6,105,Grass,Poison
Frillish,592,55,40,50,65,85,40,12,330,Water,Ghost
Jellicent,593,100,60,70,85,105,60,22,1350,Water,Ghost
Alomomola,594,165,75,80,40,45,65,12,316,Water,
Joltik,595,50,47,50,57,50,65,1,6,Bug,Electric
Galvantula,596,70,77,60,97,60,108,8,143,Bug,Electric
Ferroseed,597,44,50,91,24,86,10,6,188,Grass,Steel
Ferrothorn,598,74,94,131,54,116,20,10,1100,Grass,Steel
Klink,599,40,55,70,45,60,30,3,210,Steel,
Klang,600,60,80,95,70,85,50,6,510,Steel,
Klinklang,601,60,100,115,70,85,90,6,810,Steel,
Tynamo,602,35,55,40,45,40,60,2,3,Electric,
Eelektrik,603,65,85,70,75,70,40,12,220,Electric,
Eelektross,604,85,115,80,105,80,50,21,805,Electric,
Elgyem,605,55,55,55,85,55,30,5,90,Psychic,
Beheeyem,606,75,75,75,125,95,40,10,345,Psychic,
Litwick,607,50,30,55,65,55,20,3,31,Ghost,Fire
Lampent,608,60,40,60,95,60,55,6,130,Ghost,Fire
Chandelure,609,60,55,90,145,90,80,10,343,Ghost,Fire
Axew,610,46,87,60,30,40,57,6,180,Dragon,
Fraxure,611,66,117,70,40,50,67,10,360,Dragon,
Haxorus,612,76,147,90,60,70,97,18,1055,Dragon,
Cubchoo,613,55,70,40,60,40,40,5,85,Ice,
Beartic,614,95,130,80,70,80,50,26,2600,Ice,
Cryogonal,615,80,50,50,95,135,105,11,1480,Ice,
Shelmet,616,50,40,85,40,65,25,4,77,Bug,
Accelgor,617,80,70,40,100,60,145,8,253,Bug,
Stunfisk,618,109,66,84,81,99,32,7,110,Ground,Electric
Mienfoo,619,45,85,50,55,50,65,9,200,Fighting,
Mienshao,620,65,125,60,95,60,105,14,355,Fighting,
Druddigon,621,77,120,90,60,90,48,16,1390,Dragon,
Golett,622,59,74,50,35,50,35,10,920,Ground,Ghost
Golurk,623,89,124,80,55,80,55,28,3300,Ground,Ghost
Pawniard,624,45,85,70,40,40,60,5,102,Dark,Steel
Bisharp,625,65,125,100,60,70,70,16,700,Dark,Steel
Bouffalant,626,95,110,95,40,95,55,16,946,Normal,
Rufflet,627,70,83,50,37,50,60,5,105,Normal,Flying
Braviary,628,100,123,75,57,75,80,15,410,Normal,Flying
Vullaby,629,70,55,75,45,65,60,5,90,Dark,Flying
Mandibuzz,630,110,65,105,55,95,80,12,395,Dark,Flying
Heatmor,631,85,97,66,105,66,65,14,580,Fire,
Durant,632,58,109,112,48,48,109,3,330,Bug,Steel
Deino,633,52,65,50,45,50,38,8,173,Dark,Dragon
Zweilous,634,72,85,70,65,70,58,14,500,Dark,Dragon
Hydreigon,635,92,105,90,125,90,98,18,1600,Dark,Dragon
Larvesta,636,55,85,55,50,55,60,11,288,Bug,Fire
Volcarona,637,85,60,65,135,105,100,16,460,Bug,Fire
Cobalion,638,91,90,129,90,72,108,21,2500,Steel,Fighting
Terrakion,639,91,129,90,72,90,108,19,2600,Rock,Fighting
Virizion,640,91,90,72,90,129,108,20,2000,Grass,Fighting
Tornadus-Incarnate,641,79,115,70,125,80,111,15,630,Flying,
Thundurus-Incarnate,642,79,115,70,125,80,111,15,610,Electric,Flying
Reshiram,643,100,120,100,150,120,90,32,3300,Dragon,Fire
Zekrom,644,100,150,120,120,100,90,29,3450,Dragon,Electric
Landorus-Incarnate,645,89,125,90,115,80,101,15,680,Ground,Flying
Kyurem,646,125,130,90,130,90,95,30,3250,Dragon,Ice
Keldeo-Ordinary,647,91,72,90,129,90,108,14,485,Water,Fighting
Meloetta-Aria,648,100,77,77,128,128,90,6,65,Normal,Psychic
Genesect,649,71,120,95,120,95,99,15,825,Bug,Steel
Chespin,650,56,61,65,48,45,38,4,90,Grass,
Quilladin,651,61,78,95,56,58,57,7,290,Grass,
Chesnaught,652,88,107,122,74,75,64,16,900,Grass,Fighting
Fennekin,653,40,45,40,62,60,60,4,94,Fire,
Braixen,654,59,59,58,90,70,73,10,145,Fire,
Delphox,655,75,69,72,114,100,104,15,390,Fire,Psychic
Froakie,656,41,56,40,62,44,71,3,70,Water,
Frogadier,657,54,63,52,83,56,97,6,109,Water,
Greninja,658,72,95,67,103,71,122,15,400,Water,Dark
Bunnelby,659,38,36,38,32,36,57,4,50,Normal,
Diggersby,660,85,56,77,50,77,78,10,424,Normal,Ground
Fletchling,661,45,50,43,40,38,62,3,17,Normal,Flying
Fletchinder,662,62,73,55,56,52,84,7,160,Fire,Flying
Talonflame,663,78,81,71,74,69,126,12,245,Fire,Flying
Scatterbug,664,38,35,40,27,25,35,3,25,Bug,
Spewpa,665,45,22,60,27,30,29,3,84,Bug,
Vivillon,666,80,52,50,90,50,89,12,170,Bug,Flying
Litleo,667,62,50,58,73,54,72,6,135,Fire,Normal
Pyroar,668,86,68,72,109,66,106,15,815,Fire,Normal
Flabebe,669,44,38,39,61,79,42,1,1,Fairy,
Floette,670,54,45,47,75,98,52,2,9,Fairy,
Florges,671,78,65,68,112,154,75,11,100,Fairy,
Skiddo,672,66,65,48,62,57,52,9,310,Grass,
Gogoat,673,123,100,62,97,81,68,17,910,Grass,
Pancham,674,67,82,62,46,48,43,6,80,Fighting,
Pangoro,675,95,124,78,69,71,58,21,1360,Fighting,Dark
Furfrou,676,75,80,60,65,90,102,12,280,Normal,
Espurr,677,62,48,54,63,60,68,3,35,Psychic,
Meowstic-Male,678,74,48,76,83,81,104,6,85,Psychic,
Honedge,679,45,80,100,35,37,28,8,20,Steel,Ghost
Doublade,680,59,110,150,45,49,35,8,45,Steel,Ghost
Aegislash-Shield,681,60,50,140,50,140,60,17,530,Steel,Ghost
Spritzee,682,78,52,60,63,65,23,2,5,Fairy,
Aromatisse,683,101,72,72,99,89,29,8,155,Fairy,
Swirlix,684,62,48,66,59,57,49,4,35,Fairy,
Slurpuff,685,82,80,86,85,75,72,8,50,Fairy,
Inkay,686,53,54,53,37,46,45,4,35,Dark,Psychic
Malamar,687,86,92,88,68,75,73,15,470,Dark,Psychic
Binacle,688,42,52,67,39,56,50,5,310,Rock,Water
Barbaracle,689,72,105,115,54,86,68,13,960,Rock,Water
Skrelp,690,50,60,60,60,60,30,5,73,Poison,Water
Dragalge,691,65,75,90,97,123,44,18,815,Poison,Dragon
Clauncher,692,50,53,62,58,63,44,5,83,Water,
Clawitzer,693,71,73,88,120,89,59,13,353,Water,
Helioptile,694,44,38,33,61,43,70,5,60,Electric,Normal
Heliolisk,695,62,55,52,109,94,109,10,210,Electric,Normal
Tyrunt,696,58,89,77,45,45,48,8,260,Rock,Dragon
Tyrantrum,697,82,121,119,69,59,71,25,2700,Rock,Dragon
Amaura,698,77,59,50,67,63,46,13,252,Rock,Ice
Aurorus,699,123,77,72,99,92,58,27,2250,Rock,Ice
Sylveon,700,95,65,65,110,130,60,10,235,Fairy,
Hawlucha,701,78,92,75,74,63,118,8,215,Fighting,Flying
Dedenne,702,67,58,57,81,67,101,2,22,Electric,Fairy
Carbink,703,50,50,150,50,150,50,3,57,Rock,Fairy
Goomy,704,45,50,35,55,75,40,3,28,Dragon,
Sliggoo,705,68,75,53,83,113,60,8,175,Dragon,
Goodra,706,90,100,70,110,150,80,20,1505,Dragon,
Klefki,707,57,80,91,80,87,75,2,30,Steel,Fairy
Phantump,708,43,70,48,50,60,38,4,70,Ghost,Grass
Trevenant,709,85,110,76,65,82,56,15,710,Ghost,Grass
Pumpkaboo-Average,710,49,66,70,44,55,51,4,50,Ghost,Grass
Gourgeist-Average,711,65,90,122,58,75,84,9,125,Ghost,Grass
Bergmite,712,55,69,85,32,35,28,10,995,Ice,
Avalugg,713,95,117,184,44,46,28,20,5050,Ice,
Noibat,714,40,30,35,45,40,55,5,80,Flying,Dragon
Noivern,715,85,70,80,97,80,123,15,850,Flying,Dragon
Xerneas,716,126,131,95,131,98,99,30,2150,Fairy,
Yveltal,717,126,131,95,131,98,99,58,2030,Dark,Flying
Zygarde-50,718,108,100,121,81,95,95,50,3050,Dragon,Ground
Diancie,719,50,100,150,100,150,50,7,88,Rock,Fairy
Hoopa,720,80,110,60,150,130,70,5,90,Psychic,Ghost
Volcanion,721,80,110,120,130,90,70,17,1950,Fire,Water
Rowlet,722,68,55,55,50,50,42,3,15,Grass,Flying
Dartrix,723,78,75,75,70,70,52,7,160,Grass,Flying
Decidueye,724,78,107,75,100,100,70,16,366,Grass,Ghost
Litten,725,45,65,40,60,40,70,4,43,Fire,
Torracat,726,65,85,50,80,50,90,7,250,Fire,
Incineroar,727,95,115,90,80,90,60,18,830,Fire,Dark
Popplio,728,50,54,54,66,56,40,4,75,Water,
Brionne,729,60,69,69,91,81,50,6,175,Water,
Primarina,730,80,74,74,126,116,60,18,440,Water,Fairy
Pikipek,731,35,75,30,30,30,65,3,12,Normal,Flying
Trumbeak,732,55,85,50,40,50,75,6,148,Normal,Flying
Toucannon,733,80,120,75,75,75,60,11,260,Normal,Flying
Yungoos,734,48,70,30,30,30,45,4,60,Normal,
Gumshoos,735,88,110,60,55,60,45,7,142,Normal,
Grubbin,736,47,62,45,55,45,46,4,44,Bug,
Charjabug,737,57,82,95,55,75,36,5,105,Bug,Electric
Vikavolt,738,77,70,90,145,75,43,15,450,Bug,Electric
Crabrawler,739,47,82,57,42,47,63,6,70,Fighting,
Crabominable,740,97,132,77,62,67,43,17,1800,Fighting,Ice
Oricorio-Baile,741,75,70,70,98,70,93,6,34,Fire,Flying
Cutiefly,742,40,45,40,55,40,84,1,2,Bug,Fairy
Ribombee,743,60,55,60,95,70,124,2,5,Bug,Fairy
Rockruff,744,45,65,40,30,40,60,5,92,Rock,
Lycanroc-Midday,745,75,115,65,55,65,112,8,250,Rock,
Wishiwashi-Solo,746,45,20,20,25,25,40,2,3,Water,
Mareanie,747,50,53,62,43,52,45,4,80,Poison,Water
Toxapex,748,50,63,152,53,142,35,7,145,Poison,Water
Mudbray,749,70,100,70,45,55,45,10,1100,Ground,
Mudsdale,750,100,125,100,55,85,35,25,9200,Ground,
Dewpider,751,38,40,52,40,72,27,3,40,Water,Bug
Araquanid,752,68,70,92,50,132,42,18,820,Water,Bug
Fomantis,753,40,55,35,50,35,35,3,15,Grass,
Lurantis,754,70,105,90,80,90,45,9,185,Grass,
Morelull,755,40,35,55,65,75,15,2,15,Grass,Fairy
Shiinotic,756,60,45,80,90,100,30,10,115,Grass,Fairy
Salandit,757,48,44,40,71,40,77,6,48,Poison,Fire
Salazzle,758,68,64,60,111,60,117,12,222,Poison,Fire
Stufful,759,70,75,50,45,50,50,5,68,Normal,Fighting
Bewear,760,120,125,80,55,60,60,21,1350,Normal,Fighting
Bounsweet,761,42,30,38,30,38,32,3,32,Grass,
Steenee,762,52,40,48,40,48,62,7,82,Grass,
Tsareena,763,72,120,98,50,98,72,12,214,Grass,
Comfey,764,51,52,90,82,110,100,1,3,Fairy,
Oranguru,765,90,60,80,90,110,60,15,760,Normal,Psychic
Passimian,766,100,120,90,40,60,80,20,828,Fighting,
Wimpod,767,25,35,40,20,30,80,5,120,Bug,Water
Golisopod,768,75,125,140,60,90,40,20,1080,Bug,Water
Sandygast,769,55,55,80,70,45,15,5,700,Ghost,Ground
Palossand,770,85,75,110,100,75,35,13,2500,Ghost,Ground
Pyukumuku,771,55,60,130,30,130,5,3,12,Water,
Type-Null,772,95,95,95,95,95,59,19,1205,Normal,
Silvally,773,95,95,95,95,95,95,23,1005,Normal,
Minior-Red-Meteor,774,60,60,100,60,100,60,3,400,Rock,Flying
Komala,775,65,115,65,75,95,65,4,199,Normal,
Turtonator,776,60,78,135,91,85,36,20,2120,Fire,Dragon
Togedemaru,777,65,98,63,40,73,96,3,33,Electric,Steel
Mimikyu-Disguised,778,55,90,80,50,105,96,2,7,Ghost,Fairy
Bruxish,779,68,105,70,70,70,92,9,190,Water,Psychic
Drampa,780,78,60,85,135,91,36,30,1850,Normal,Dragon
Dhelmise,781,70,131,100,86,90,40,39,2100,Ghost,Grass
Jangmo-O,782,45,55,65,45,45,45,6,297,Dragon,
Hakamo-O,783,55,75,90,65,70,65,12,470,Dragon,Fighting
Kommo-O,784,75,110,125,100,105,85,16,782,Dragon,Fighting
Tapu-Koko,785,70,115,85,95,75,130,18,205,Electric,Fairy
Tapu-Lele,786,70,85,75,130,115,95,12,186,Psychic,Fairy
Tapu-Bulu,787,70,130,115,85,95,75,19,455,Grass,Fairy
Tapu-Fini,788,70,75,115,95,130,85,13,212,Water,Fairy
Cosmog,789,43,29,31,29,31,37,2,1,Psychic,
Cosmoem,790,43,29,131,29,131,37,1,9999,Psychic,
Solgaleo,791,137,137,107,113,89,97,34,2300,Psychic,Steel
Lunala,792,137,113,89,137,107,97,40,1200,Psychic,Ghost
Nihilego,793,109,53,47,127,131,103,12,555,Rock,Poison
Buzzwole,794,107,139,139,53,53,79,24,3336,Bug,Fighting
Pheromosa,795,71,137,37,137,37,151,18,250,Bug,Fighting
Xurkitree,796,83,89,71,173,71,83,38,1000,Electric,
Celesteela,797,97,101,103,107,101,61,92,9999,Steel,Flying
Kartana,798,59,181,131,59,31,109,3,1,Grass,Steel
Guzzlord,799,223,101,53,97,53,43,55,8880,Dark,Dragon
Necrozma,800,97,107,101,127,89,79,24,2300,Psychic,
Magearna,801,80,95,115,130,115,65,10,805,Steel,Fairy
Marshadow,802,90,125,80,90,90,125,7,222,Fighting,Ghost
Poipole,803,67,73,67,73,67,73,6,18,Poison,
Naganadel,804,73,73,73,127,73,121,36,1500,Poison,Dragon
Stakataka,805,61,131,211,53,101,13,55,8200,Rock,Steel
Blacephalon,806,53,127,53,151,79,107,18,130,Fire,Ghost
Zeraora,807,88,112,75,102,80,143,15,445,Electric,
Meltan,808,46,65,65,55,35,34,2,80,Steel,
Melmetal,809,135,143,143,80,65,34,25,8000,Steel,
Grookey,810,50,65,50,40,40,65,3,50,Grass,
Thwackey,811,70,85,70,55,60,80,7,140,Grass,
Rillaboom,812,100,125,90,60,70,85,21,900,Grass,
Scorbunny,813,50,71,40,40,40,69,3,45,Fire,
Raboot,814,65,86,60,55,60,94,6,90,Fire,
Cinderace,815,80,116,75,65,75,119,14,330,Fire,
Sobble,816,50,40,40,70,40,70,3,40,Water,
Drizzile,817,65,60,55,95,55,90,7,115,Water,
Inteleon,818,70,85,65,125,65,120,19,452,Water,
Skwovet,819,70,55,55,35,35,25,3,25,Normal,
Greedent,820,120,95,95,55,75,20,6,60,Normal,
Rookidee,821,38,47,35,33,35,57,2,18,Flying,
Corvisquire,822,68,67,55,43,55,77,8,160,Flying,
Corviknight,823,98,87,105,53,85,67,22,750,Flying,Steel
Blipbug,824,25,20,20,25,45,45,4,80,Bug,
Dottler,825,50,35,80,50,90,30,4,195,Bug,Psychic
Orbeetle,826,60,45,110,80,120,90,4,408,Bug,Psychic
Nickit,827,40,28,28,47,52,50,6,89,Dark,
Thievul,828,70,58,58,87,92,90,12,199,Dark,
Gossifleur,829,40,40,60,40,60,10,4,22,Grass,
Eldegoss,830,60,50,90,80,120,60,5,25,Grass,
Wooloo,831,42,40,55,40,45,48,6,60,Normal,
Dubwool,832,72,80,100,60,90,88,13,430,Normal,
Chewtle,833,50,64,50,38,38,44,3,85,Water,
Drednaw,834,90,115,90,48,68,74,10,1155,Water,Rock
Yamper,835,59,45,50,40,50,26,3,135,Electric,
Boltund,836,69,90,60,90,60,121,10,340,Electric,
Rolycoly,837,30,40,50,40,50,30,3,120,Rock,
Carkol,838,80,60,90,60,70,50,11,780,Rock,Fire
Coalossal,839,110,80,120,80,90,30,28,3105,Rock,Fire
Applin,840,40,40,80,40,40,20,2,5,Grass,Dragon
Flapple,841,70,110,80,95,60,70,3,10,Grass,Dragon
Appletun,842,110,85,80,100,80,30,4,130,Grass,Dragon
Silicobra,843,52,57,75,35,50,46,22,76,Ground,
Sandaconda,844,72,107,125,65,70,71,38,655,Ground,
Cramorant,845,70,85,55,85,95,85,8,180,Flying,Water
Arrokuda,846,41,63,40,40,30,66,5,10,Water,
Barraskewda,847,61,123,60,60,50,136,13,300,Water,
Toxel,848,40,38,35,54,35,40,4,110,Electric,Poison
Toxtricity-Amped,849,75,98,70,114,70,75,16,400,Electric,Poison
Sizzlipede,850,50,65,45,50,50,45,7,10,Fire,Bug
Centiskorch,851,100,115,65,90,90,65,30,1200,Fire,Bug
Clobbopus,852,50,68,60,50,50,32,6,40,Fighting,
Grapploct,853,80,118,90,70,80,42,16,390,Fighting,
Sinistea,854,40,45,45,74,54,50,1,2,Ghost,
Polteageist,855,60,65,65,134,114,70,2,4,Ghost,
Hatenna,856,42,30,45,56,53,39,4,34,Psychic,
Hattrem,857,57,40,65,86,73,49,6,48,Psychic,
Hatterene,858,57,90,95,136,103,29,21,51,Psychic,Fairy
Impidimp,859,45,45,30,55,40,50,4,55,Dark,Fairy
Morgrem,860,65,60,45,75,55,70,8,125,Dark,Fairy
Grimmsnarl,861,95,120,65,95,75,60,15,610,Dark,Fairy
Obstagoon,862,93,90,101,60,81,95,16,460,Dark,Normal
Perrserker,863,70,110,100,50,60,50,8,280,Steel,
Cursola,864,60,95,50,145,130,30,10,4,Ghost,
Sirfetchd,865,62,135,95,68,82,65,8,1170,Fighting,
Mr-Rime,866,80,85,75,110,100,70,15,582,Ice,Psychic
Runerigus,867,58,95,145,50,105,30,16,666,Ground,Ghost
Milcery,868,45,40,40,50,61,34,2,3,Fairy,
Alcremie,869,65,60,75,110,121,64,3,5,Fairy,
Falinks,870,65,100,100,70,60,75,30,620,Fighting,
Pincurchin,871,48,101,95,91,85,15,3,10,Electric,
Snom,872,30,25,35,45,30,20,3,38,Ice,Bug
Frosmoth,873,70,65,60,125,90,65,13,420,Ice,Bug
Stonjourner,874,100,125,135,20,20,70,25,5200,Rock,
Eiscue-Ice,875,75,80,110,65,90,50,14,890,Ice,
Indeedee-Male,876,60,65,55,105,95,95,9,280,Psychic,Normal
Morpeko-Full-Belly,877,58,95,58,70,58,97,3,30,Electric,Dark
Cufant,878,72,80,49,40,49,40,12,1000,Steel,
Copperajah,879,122,130,69,80,69,30,30,6500,Steel,
Dracozolt,880,90,100,90,80,70,75,18,1900,Electric,Dragon
Arctozolt,881,90,100,90,90,80,55,23,1500,Electric,Ice
Dracovish,882,90,90,100,70,80,75,23,2150,Water,Dragon
Arctovish,883,90,90,100,80,90,55,20,1750,Water,Ice
Duraludon,884,70,95,115,120,50,85,18,400,Steel,Dragon
Dreepy,885,28,60,30,40,30,82,5,20,Dragon,Ghost
Drakloak,886,68,80,50,60,50,102,14,110,Dragon,Ghost
Dragapult,887,88,120,75,100,75,142,30,500,Dragon,Ghost
Zacian,888,92,120,115,80,115,138,28,1100,Fairy,
Zamazenta,889,92,120,115,80,115,138,29,2100,Fighting,
Eternatus,890,140,85,95,145,95,130,200,9500,Poison,Dragon
Kubfu,891,60,90,60,53,50,72,6,120,Fighting,
Urshifu-Single-Strike,892,100,130,100,63,60,97,19,1050,Fighting,Dark
Zarude,893,105,120,105,70,95,105,18,700,Dark,Grass
Regieleki,894,80,100,50,100,50,200,12,1450,Electric,
Regidrago,895,200,100,50,100,50,80,21,2000,Dragon,
Glastrier,896,100,145,130,65,110,30,22,8000,Ice,
Spectrier,897,100,65,60,145,80,130,20,445,Ghost,
Calyrex,898,100,80,80,80,80,80,11,77,Psychic,Grass
Wyrdeer,899,103,105,72,105,75,65,18,951,Normal,Psychic
Kleavor,900,70,135,95,45,70,85,18,890,Bug,Rock
Ursaluna,901,130,140,105,45,80,50,24,2900,Ground,Normal
Basculegion-Male,902,120,112,65,80,75,78,30,1100,Water,Ghost
Sneasler,903,80,130,60,40,80,120,13,430,Fighting,Poison
Overqwil,904,85,115,95,65,65,85,25,605,Dark,Poison
Enamorus-Incarnate,905,74,115,70,135,80,106,16,480,Fairy,Flying
